topic,similarity,nouns,probabilities
2,0.05887857200176735,"['いくら', 'バンド', '家族', 'ロケ', 'ホテル', '万円', 'エモい', 'つけ', 'やから', 'まあ']","[0.44592875, 0.12550494, 0.11952215, 0.109608546, 0.071792, 0.026688216, 0.02337947, 0.01617662, 0.015814679, 0.010211203]"
4,0.05774596485680017,"['最初', '会社', 'アイドル', '種類', '距離', '手前', '結果的', 'タッチパネル', 'カメラマン', '活動的']","[0.51453173, 0.13673316, 0.13041204, 0.088647835, 0.058038615, 0.01946762, 0.006806345, 0.002063467, 0.0010948871, 2.0520495e-06]"
32,0.05768503145619708,"['皆さん', '言葉', 'プロ', '素人', 'るし', '完璧', 'トップクラス', 'ライバル', '活動的', '大竹']","[0.6106208, 0.23696572, 0.04308947, 0.029007036, 0.02030878, 0.013171021, 0.008378922, 0.007101385, 1.5245414e-06, 1.5245414e-06]"
10,0.047067222773011244,"['じゃなくて', 'Tシャツ', 'ギャグ', 'サイト', '上位', '理想', '町田', '最前列', '片っ端', 'ゃいますこれねむしろ']","[0.44846082, 0.20110072, 0.08038757, 0.060996708, 0.050913192, 0.040492844, 0.029863155, 0.0014070566, 0.0006505946, 4.168202e-06]"
35,0.04503426440766122,"['先生', '立場', 'そば', 'そうかもしれない', '光景', '体力', '界隈', '音楽番組', 'ポジション', '性格']","[0.4274244, 0.12354553, 0.12111886, 0.053498268, 0.03179277, 0.031543873, 0.02311742, 0.021283755, 0.017697455, 0.013374766]"
11,0.04431990685128214,"['財布', '都合', 'バス', '金太郎', 'お客', 'ポケモン', 'Uber Eats', 'キモ', 'ラッ', 'エッセイスト']","[0.3178445, 0.17339489, 0.11064867, 0.079951435, 0.046590645, 0.014554821, 0.0065980447, 0.005962616, 1.1885177e-05, 1.1885177e-05]"
