topic,similarity,nouns,probabilities
16,0.06943657685682554,"['ご飯', '友達', 'テレビ', '世界', 'ねこ', '見え', '本音', '収録中', '田曽', '総額']","[0.34141025, 0.2999921, 0.1554294, 0.12614428, 0.054229464, 0.0059801326, 0.004099795, 0.0009433949, 5.758437e-07, 5.758437e-07]"
13,0.06889432048229613,"['音源', '時代', '学校', 'ただ', 'ネット', 'サビ', '体力', 'らい', 'スペック', '争奪戦']","[0.33582714, 0.21232618, 0.1903922, 0.11058785, 0.10262882, 0.014286353, 0.011239405, 0.0037762462, 9.2632473e-07, 9.2632473e-07]"
5,0.0688418824284807,"['現実', '作品', '最高', '会社', '後ろ', 'ランキング', '映像', '上位', 'わり', '田曽']","[0.28685638, 0.209206, 0.17661978, 0.1208814, 0.07957197, 0.048875164, 0.038116872, 0.02242678, 8.2678074e-05, 8.4941433e-07]"
49,0.05289190418417048,"['月日', '星野源', '新曲', '本番前', '吉本', 'are', '時刻', '弾き語り', 'アナ', '真実']","[0.6319506, 0.12403634, 0.10025329, 0.03284915, 0.02922443, 0.02661561, 0.0076055666, 0.005581735, 0.0045891227, 0.0016250551]"
4,0.05228575184094828,"['皆さん', '多分', 'じゃなくて', 'いない', 'ハッシュタグ', 'お客さん', '周り', '現地', 'バカ', '足元']","[0.3949132, 0.2771327, 0.09009881, 0.05050038, 0.04384369, 0.043387633, 0.04040409, 0.022096466, 0.019263208, 0.005193809]"
30,0.05191736521686624,"['しん', '調子', '最悪', 'ほん', 'どうでしょう', 'きのこ', 'ヘタ', '生理', '田曽', '総額']","[0.5305519, 0.12920323, 0.09348844, 0.07880083, 0.07843608, 0.025511311, 0.0006786447, 3.097862e-06, 3.097862e-06, 3.097862e-06]"
