topic,similarity,nouns,probabilities
46,0.06802407656206025,"['ベッド', '時代', 'カス', 'チャンス', '単位', 'グラウンド', 'マウンド', '茶色', 'ゃいますこれねむしろ', '食器']","[0.39219126, 0.32397974, 0.08551138, 0.06304535, 0.062423494, 0.010512689, 0.004580301, 0.0004921971, 2.7841222e-06, 2.7841222e-06]"
44,0.06782283862104266,"['日本', '女性', '海外', '状況', 'レベル', '期間', 'くない', 'ふふ', 'オンエア', '体重']","[0.34800962, 0.19458172, 0.19004548, 0.08604189, 0.068893634, 0.04182561, 0.015697442, 0.009561494, 0.009437435, 0.0038866012]"
28,0.0673635032174075,"['野球', 'タイトル', 'キャラ', 'ガチ', '好きだ', '笑い', 'プロジェクト', 'ソウル', 'イメトレイメトレ', '食器']","[0.37141636, 0.19388269, 0.1793587, 0.07231376, 0.05338027, 0.043053117, 0.013079103, 0.011055682, 3.0367698e-06, 3.0367698e-06]"
37,0.054033135460988965,"['いいね', 'なのかな', '流れ', '無料', 'メイン', '最悪', '太郎', '醍醐味', 'がん', 'なんとかなる']","[0.36306524, 0.122270174, 0.11918128, 0.11636793, 0.08671693, 0.059097633, 0.025082866, 0.009390858, 0.009041744, 0.007965616]"
10,0.05176814381622857,"['じゃなくて', 'Tシャツ', 'ギャグ', 'サイト', '上位', '理想', '町田', '最前列', '片っ端', 'ゃいますこれねむしろ']","[0.44846082, 0.20110072, 0.08038757, 0.060996708, 0.050913192, 0.040492844, 0.029863155, 0.0014070566, 0.0006505946, 4.168202e-06]"
11,0.04827933571994694,"['財布', '都合', 'バス', '金太郎', 'お客', 'ポケモン', 'Uber Eats', 'キモ', 'ラッ', 'エッセイスト']","[0.3178445, 0.17339489, 0.11064867, 0.079951435, 0.046590645, 0.014554821, 0.0065980447, 0.005962616, 1.1885177e-05, 1.1885177e-05]"
