topic,similarity,nouns,probabilities
16,0.07282010764855465,"['ご飯', '友達', 'テレビ', '世界', 'ねこ', '見え', '本音', '収録中', '田曽', '総額']","[0.34141025, 0.2999921, 0.1554294, 0.12614428, 0.054229464, 0.0059801326, 0.004099795, 0.0009433949, 5.758437e-07, 5.758437e-07]"
5,0.07263507161375748,"['現実', '作品', '最高', '会社', '後ろ', 'ランキング', '映像', '上位', 'わり', '田曽']","[0.28685638, 0.209206, 0.17661978, 0.1208814, 0.07957197, 0.048875164, 0.038116872, 0.02242678, 8.2678074e-05, 8.4941433e-07]"
9,0.07164992055689255,"['日本', '未来', 'アニメ', '世代', '本気', 'おかげ', '関係者', 'ブランド', '皆様', 'そうかもしれない']","[0.38122356, 0.13815068, 0.088892795, 0.08081515, 0.06512065, 0.058341008, 0.043800704, 0.040246192, 0.03060746, 0.017431267]"
2,0.05828100348938725,"['テンション', '楽しみ', '相手', 'カス', '好きだ', '締め', 'スペック', '田曽', 'トム', '争奪戦']","[0.40497306, 0.35601702, 0.09903596, 0.060385246, 0.042643417, 0.010759069, 1.2808749e-06, 1.2808749e-06, 1.2808749e-06, 1.2808749e-06]"
4,0.056615329963998276,"['皆さん', '多分', 'じゃなくて', 'いない', 'ハッシュタグ', 'お客さん', '周り', '現地', 'バカ', '足元']","[0.3949132, 0.2771327, 0.09009881, 0.05050038, 0.04384369, 0.043387633, 0.04040409, 0.022096466, 0.019263208, 0.005193809]"
30,0.05598281841104833,"['しん', '調子', '最悪', 'ほん', 'どうでしょう', 'きのこ', 'ヘタ', '生理', '田曽', '総額']","[0.5305519, 0.12920323, 0.09348844, 0.07880083, 0.07843608, 0.025511311, 0.0006786447, 3.097862e-06, 3.097862e-06, 3.097862e-06]"
