topic,similarity
328,1.437084341889436
220,1.434567320740448
18,1.4342486223448878
491,1.433756138075073
0,1.4333692960622835
339,1.4322415414310639
269,1.4313135947342273
489,1.4308585772191846
463,1.4306558007147254
132,1.4299980983501528
321,1.4290568909207404
394,1.4274732590320722
459,1.4272152512119367
449,1.4269303137333549
444,1.4264015322507815
233,1.42630941789841
143,1.4251125807232325
86,1.4244007757566508
397,1.4240551854840557
247,1.4238380868326534
99,1.4237154665716452
83,1.4226018345303473
215,1.4223248445938643
184,1.4211786068810357
174,1.4206102179215017
343,1.4190248415766773
90,1.4187478196053278
106,1.417325784987454
290,1.4166498274675439
95,1.4165335027156054
382,1.4162617809569356
365,1.4160222433129763
246,1.4154627731793834
471,1.4154202403091802
6,1.4150953472985162
474,1.4143458764983694
84,1.414058024503968
439,1.4140536771001408
351,1.412842305185639
38,1.4127847480553166
187,1.4123768729901096
116,1.412118213906136
487,1.411967537979379
219,1.4118633374783665
364,1.4113731740791107
199,1.4109434137021863
295,1.4109093007858862
357,1.4108779037871013
258,1.4106221013474014
169,1.4102184858433036
230,1.4097966468276608
146,1.4094979364683131
153,1.4093372636434565
435,1.4092648910184211
29,1.4092639281553923
127,1.4091373443603517
192,1.4089351121117089
210,1.40879545041493
80,1.4087936805868613
193,1.408749464266705
420,1.4084535773410354
352,1.4084289566451955
204,1.408351183203714
165,1.4082424378040994
391,1.408192012321066
289,1.4079264151263358
276,1.4077724733790338
243,1.4077511011407926
313,1.4075832036780376
310,1.4074647269597866
205,1.4071458053151402
179,1.4068944322819612
68,1.4061663568294542
358,1.406091061321277
186,1.4057110075194101
124,1.405658943980348
469,1.4056395741476528
54,1.4055713534954206
74,1.405551178325521
88,1.4055193996790685
456,1.405493609222448
441,1.4054582040099537
466,1.4050551025491012
288,1.4049410444830879
148,1.4048863614477762
123,1.4047276942650853
248,1.4046167364690156
236,1.4042110047532839
151,1.4040701809873437
386,1.4039742199297485
39,1.4038359840902
114,1.4029029058937978
473,1.4027638502896127
122,1.402619681268368
191,1.4025306775795285
178,1.4024163006095711
370,1.4018332184250675
379,1.4018284997396302
434,1.4002680809874284
171,1.3999738229345953
4,1.3992900071959746
67,1.3992768734404184
387,1.399070309109665
141,1.397942559539992
360,1.3978897512252695
115,1.3974259022320288
208,1.3971203465781143
98,1.3949031060934067
302,1.3947002324626674
476,1.3945271622102995
271,1.3945248342455834
398,1.3945166027545928
266,1.394506036954106
368,1.3944544681352586
32,1.394113653898239
416,1.393970994984062
475,1.3928989731988242
361,1.3916675965894352
242,1.3909963033906179
494,1.3895391083099473
468,1.3878864398097046
407,1.38766500397856
253,1.3860358473582144
36,1.3859163254499436
478,1.385338903043829
196,1.384665296374378
131,1.3831467170850926
307,1.3812820328785493
433,1.3806295409949139
231,1.3794797455246126
263,1.377045414072978
486,1.3743454940718225
