topic,similarity,nouns,probabilities
47,0.05992973721735777,"['最初', '種類', '自信', '素人', 'チャンス', '息子', '笑い', 'ジャンル', 'かなり', 'サメ']","[0.6651851, 0.079601504, 0.05761086, 0.040178213, 0.036908224, 0.031959776, 0.028500238, 0.022151437, 0.014441246, 0.0018504099]"
20,0.057486302018083746,"['全員', 'グッズ', 'プロ', '食べ物', '藤原', 'Mステ', 'グミ', '焼肉屋', '塩味', '争奪戦']","[0.4392164, 0.24615224, 0.10143455, 0.07337948, 0.07191926, 0.012789921, 0.009256328, 0.007590499, 0.0035256424, 1.6993174e-06]"
16,0.05737077634249851,"['ご飯', '友達', 'テレビ', '世界', 'ねこ', '見え', '本音', '収録中', '田曽', '総額']","[0.34141025, 0.2999921, 0.1554294, 0.12614428, 0.054229464, 0.0059801326, 0.004099795, 0.0009433949, 5.758437e-07, 5.758437e-07]"
18,0.049738358270355096,"['映画', '歌詞', 'ドラマ', '漫才', 'お笑い', 'スイッチ', '立場', 'バランス', 'ソロ', '韓国']","[0.271306, 0.16485879, 0.13339034, 0.10946416, 0.07781065, 0.045861363, 0.03969352, 0.023774462, 0.023638075, 0.021044195]"
37,0.04822840798900325,"['番組', '生放送', 'アプリ', '生配信', '届け', '感想', 'アカウント', 'リアクション', '初回', 'どん']","[0.46237797, 0.10461996, 0.068227366, 0.066645, 0.044924404, 0.0386352, 0.03185494, 0.026082287, 0.025122257, 0.022835542]"
30,0.0462351985678472,"['しん', '調子', '最悪', 'ほん', 'どうでしょう', 'きのこ', 'ヘタ', '生理', '田曽', '総額']","[0.5305519, 0.12920323, 0.09348844, 0.07880083, 0.07843608, 0.025511311, 0.0006786447, 3.097862e-06, 3.097862e-06, 3.097862e-06]"
