topic,similarity,nouns,probabilities
42,0.07615892257207427,"['ライブ', '武道館', 'あはは', 'バズ', '業界', '出来', '一般', '定番', 'バチバチ', 'クオリティ']","[0.5626179, 0.07055154, 0.06508337, 0.054399014, 0.054123115, 0.025454622, 0.025397528, 0.019398358, 0.016829561, 0.01596623]"
31,0.06707393702223094,"['スタジオ', 'バンド', '話題', 'スペシャル', '何それ', 'わからん', 'フリ', 'あい', '久々', 'ひとり']","[0.37037867, 0.24210183, 0.086381584, 0.07015305, 0.053604625, 0.038414404, 0.036885623, 0.024254348, 0.021668766, 0.014839517]"
13,0.06706318618524285,"['音源', '時代', '学校', 'ただ', 'ネット', 'サビ', '体力', 'らい', 'スペック', '争奪戦']","[0.33582714, 0.21232618, 0.1903922, 0.11058785, 0.10262882, 0.014286353, 0.011239405, 0.0037762462, 9.2632473e-07, 9.2632473e-07]"
4,0.05185496343499012,"['皆さん', '多分', 'じゃなくて', 'いない', 'ハッシュタグ', 'お客さん', '周り', '現地', 'バカ', '足元']","[0.3949132, 0.2771327, 0.09009881, 0.05050038, 0.04384369, 0.043387633, 0.04040409, 0.022096466, 0.019263208, 0.005193809]"
49,0.051031751529788005,"['月日', '星野源', '新曲', '本番前', '吉本', 'are', '時刻', '弾き語り', 'アナ', '真実']","[0.6319506, 0.12403634, 0.10025329, 0.03284915, 0.02922443, 0.02661561, 0.0076055666, 0.005581735, 0.0045891227, 0.0016250551]"
30,0.04938758009618015,"['しん', '調子', '最悪', 'ほん', 'どうでしょう', 'きのこ', 'ヘタ', '生理', '田曽', '総額']","[0.5305519, 0.12920323, 0.09348844, 0.07880083, 0.07843608, 0.025511311, 0.0006786447, 3.097862e-06, 3.097862e-06, 3.097862e-06]"
