topic,similarity
486,0.016794822876896633
449,0.016392655286600413
215,0.016322326231929814
444,0.016269122718194015
123,0.015143807920589218
80,0.015127746094642623
351,0.014849596467948815
339,0.014505346433133635
174,0.014429494398126564
343,0.014265398865435746
420,0.014125980615791832
219,0.013306153097003106
307,0.013282360796017169
310,0.013140074412044183
220,0.013035132981451574
328,0.012723476264030479
441,0.01253119253993771
95,0.012267557229483673
491,0.011923444461873437
361,0.011914314502389643
379,0.011778383248745321
106,0.011670026182510842
39,0.011372957978964366
205,0.01129940896651066
178,0.011296364304454853
288,0.011292514255182799
196,0.011268761277813651
90,0.01111426704673312
143,0.010982886690724981
276,0.01095196766029698
476,0.010479568295543485
18,0.010411644579955267
179,0.010237596567612703
468,0.010225083208586816
253,0.01015001455135883
475,0.009965731296720647
263,0.009861104052010895
115,0.009832254404522034
192,0.009822184967306002
127,0.009798410176139593
193,0.009754783656732293
473,0.009614740953144752
67,0.009596210068737156
434,0.009564245718069598
365,0.009552233218848767
169,0.00952956771006983
463,0.009336205437263129
99,0.00928108281108666
387,0.009271892106640403
141,0.009269458932968072
68,0.009260921175894483
489,0.009159122163645719
84,0.009126861551861728
358,0.009122632312561859
397,0.009023142836021169
29,0.008987166152499665
494,0.008977955266028537
271,0.008955468595627765
248,0.008884798184382182
266,0.008877041776388215
153,0.008829843911602827
357,0.008809460037016215
360,0.008780415588229415
122,0.008774319509406906
382,0.008772482678188535
199,0.008642347359554223
258,0.008630193271813231
146,0.008581819172696575
416,0.00852322035017604
4,0.008465394057818492
370,0.008454550995970518
114,0.008409079696939154
0,0.008319903233921849
187,0.008298491764020243
54,0.008268725236491697
74,0.008244706002591962
456,0.008233642207136054
148,0.008226931636791718
246,0.0081962781556477
289,0.008131159678678909
407,0.00811194676025158
269,0.00808351856023624
321,0.008013156598714426
233,0.007933502700430521
394,0.007924561790166179
386,0.007919418513269024
184,0.007896108218573483
368,0.007831722626076934
132,0.007817523497411286
86,0.007698779588198643
171,0.007659986055008992
131,0.007540949326521424
36,0.007530251148906265
478,0.007460640671032414
98,0.0074091312951076954
124,0.007378943644530247
290,0.00731852456137755
116,0.007306609528546071
487,0.007253672750033542
242,0.007233118494248253
433,0.007197334057276056
459,0.007163547479629603
398,0.0071435654328754735
352,0.007007524804373189
38,0.006985756475737507
295,0.006916677634004791
471,0.006916500796712218
231,0.006900233849890525
243,0.006890567504322003
236,0.006650099038707658
32,0.0064491709861192285
247,0.006398238108257269
186,0.006365972383994114
469,0.006220469889859495
391,0.006212392160105298
88,0.006161235653450785
302,0.006059751596457557
466,0.006020365553378281
435,0.005962606335891713
151,0.005919432011455518
210,0.0059030757147493194
439,0.005828914551834115
165,0.005424628236035016
474,0.00541942284012405
6,0.0053614807722171835
208,0.0053058500138131815
83,0.005269639961477551
364,0.005149361060295569
191,0.005016860905878878
204,0.004511760135895331
313,0.004440920131060982
230,0.003604882327993748
